CONTAINER ID   IMAGE                           COMMAND                 CREATED          STATUS          PORTS                      NAMES
00d7786a72ca   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10519->51820/udp   wireguard_peer519
fe36fc6c0927   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10518->51820/udp   wireguard_peer518
1bc20bffcebe   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10517->51820/udp   wireguard_peer517
fc23a534becd   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10516->51820/udp   wireguard_peer516
4b20d6533b24   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10515->51820/udp   wireguard_peer515
960197dc26bb   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10514->51820/udp   wireguard_peer514
ed822f0e251d   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10513->51820/udp   wireguard_peer513
575e20db298a   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10512->51820/udp   wireguard_peer512
84b7129ed134   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10511->51820/udp   wireguard_peer511
6de2d273fb77   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10510->51820/udp   wireguard_peer510
974796b5647e   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10509->51820/udp   wireguard_peer509
0e96d9a26c82   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   22 minutes ago   Up 22 minutes   0.0.0.0:10508->51820/udp   wireguard_peer508
